10000000,1000,0.30,4,1.677794
10000000,1000,0.30,4,1.679567
10000000,1000,0.30,4,1.687495
10000000,1000,0.30,4,2.258266
10000000,1000,0.30,4,2.076249
10000000,1000,0.30,4,2.505428
10000000,1000,0.30,4,1.994780
10000000,1000,0.30,4,1.662563
10000000,1000,0.30,4,1.724293
10000000,1000,0.30,4,1.734111
10000000,2000,0.30,4,3.829510
10000000,2000,0.30,4,3.732729
10000000,2000,0.30,4,3.484541
10000000,2000,0.30,4,3.360357
10000000,2000,0.30,4,3.374016
10000000,2000,0.30,4,4.121810
10000000,2000,0.30,4,3.752021
10000000,2000,0.30,4,4.526359
10000000,2000,0.30,4,3.614779
10000000,2000,0.30,4,3.634478
10000000,3000,0.30,4,5.413710
10000000,3000,0.30,4,5.318573
10000000,3000,0.30,4,6.038807
10000000,3000,0.30,4,5.693815
10000000,3000,0.30,4,4.945124
10000000,3000,0.30,4,5.057059
10000000,3000,0.30,4,5.050886
10000000,3000,0.30,4,4.990686
10000000,3000,0.30,4,5.024936
10000000,3000,0.30,4,4.974731
10000000,4000,0.30,4,7.461859
10000000,4000,0.30,4,6.988116
10000000,4000,0.30,4,7.129278
10000000,4000,0.30,4,7.328029
10000000,4000,0.30,4,6.754897
10000000,4000,0.30,4,6.622146
10000000,4000,0.30,4,6.706454
10000000,4000,0.30,4,6.677785
10000000,4000,0.30,4,6.649402
10000000,4000,0.30,4,6.750316
10000000,5000,0.30,4,8.320324
10000000,5000,0.30,4,8.253013
10000000,5000,0.30,4,8.282061
10000000,5000,0.30,4,8.511487
10000000,5000,0.30,4,8.346622
10000000,5000,0.30,4,8.454251
10000000,5000,0.30,4,8.506418
10000000,5000,0.30,4,8.332143
10000000,5000,0.30,4,8.336240
10000000,5000,0.30,4,8.298337
15000000,1000,0.30,4,2.628600
15000000,1000,0.30,4,2.638378
15000000,1000,0.30,4,2.644520
15000000,1000,0.30,4,2.603653
15000000,1000,0.30,4,2.601608
15000000,1000,0.30,4,2.618431
15000000,1000,0.30,4,2.655095
15000000,1000,0.30,4,2.679967
15000000,1000,0.30,4,2.684802
15000000,1000,0.30,4,2.664182
15000000,2000,0.30,4,5.472853
15000000,2000,0.30,4,5.227087
15000000,2000,0.30,4,5.251685
15000000,2000,0.30,4,5.383115
15000000,2000,0.30,4,5.231631
15000000,2000,0.30,4,5.231692
15000000,2000,0.30,4,5.182433
15000000,2000,0.30,4,5.231716
15000000,2000,0.30,4,5.276998
15000000,2000,0.30,4,5.184131
15000000,3000,0.30,4,7.926350
15000000,3000,0.30,4,7.893660
15000000,3000,0.30,4,7.892734
15000000,3000,0.30,4,8.183762
15000000,3000,0.30,4,8.018812
15000000,3000,0.30,4,8.288696
15000000,3000,0.30,4,8.091567
15000000,3000,0.30,4,8.022672
15000000,3000,0.30,4,8.301338
15000000,3000,0.30,4,8.140832
15000000,4000,0.30,4,11.070457
15000000,4000,0.30,4,10.977019
15000000,4000,0.30,4,11.232329
15000000,4000,0.30,4,10.677868
15000000,4000,0.30,4,11.298091
15000000,4000,0.30,4,10.510635
15000000,4000,0.30,4,10.705443
15000000,4000,0.30,4,10.411466
15000000,4000,0.30,4,10.921796
15000000,4000,0.30,4,11.430181
15000000,5000,0.30,4,14.082012
15000000,5000,0.30,4,16.211345
15000000,5000,0.30,4,15.993279
15000000,5000,0.30,4,14.234409
15000000,5000,0.30,4,16.584613
15000000,5000,0.30,4,15.175089
15000000,5000,0.30,4,14.647878
15000000,5000,0.30,4,14.635516
15000000,5000,0.30,4,14.104939
15000000,5000,0.30,4,14.176257
20000000,1000,0.30,4,3.858868
20000000,1000,0.30,4,3.769041
20000000,1000,0.30,4,3.747629
20000000,1000,0.30,4,3.794245
20000000,1000,0.30,4,3.621262
20000000,1000,0.30,4,3.578043
20000000,1000,0.30,4,3.817386
20000000,1000,0.30,4,3.820731
20000000,1000,0.30,4,3.796830
20000000,1000,0.30,4,3.514499
20000000,2000,0.30,4,7.543171
20000000,2000,0.30,4,7.284544
20000000,2000,0.30,4,7.427770
20000000,2000,0.30,4,8.114459
20000000,2000,0.30,4,8.882026
20000000,2000,0.30,4,7.824452
20000000,2000,0.30,4,7.384674
20000000,2000,0.30,4,7.292911
20000000,2000,0.30,4,8.825081
20000000,2000,0.30,4,9.364377
20000000,3000,0.30,4,11.332445
20000000,3000,0.30,4,13.098394
20000000,3000,0.30,4,13.090834
20000000,3000,0.30,4,13.183583
20000000,3000,0.30,4,12.877490
20000000,3000,0.30,4,13.755195
20000000,3000,0.30,4,13.880736
20000000,3000,0.30,4,13.567004
20000000,3000,0.30,4,13.978418
20000000,3000,0.30,4,11.424352
20000000,4000,0.30,4,16.786188
20000000,4000,0.30,4,16.289784
20000000,4000,0.30,4,15.405689
20000000,4000,0.30,4,14.704273
20000000,4000,0.30,4,14.526754
20000000,4000,0.30,4,14.389863
20000000,4000,0.30,4,14.664952
20000000,4000,0.30,4,14.914984
20000000,4000,0.30,4,14.713344
20000000,4000,0.30,4,14.243845
20000000,5000,0.30,4,17.852609
20000000,5000,0.30,4,21.128352
20000000,5000,0.30,4,20.178647
20000000,5000,0.30,4,17.966040
20000000,5000,0.30,4,17.997749
20000000,5000,0.30,4,17.460501
20000000,5000,0.30,4,17.712064
20000000,5000,0.30,4,17.781963
20000000,5000,0.30,4,18.356349
20000000,5000,0.30,4,17.890160
10000000,500,0.30,4,0.840098
10000000,500,0.30,4,0.862842
10000000,500,0.30,4,0.838596
10000000,500,0.30,4,0.835839
10000000,500,0.30,4,0.853819
10000000,500,0.30,4,0.841834
10000000,500,0.30,4,0.852467
10000000,500,0.30,4,0.878094
10000000,500,0.30,4,0.844892
10000000,500,0.30,4,0.850979
5000000,1000,0.30,4,0.719017
5000000,1000,0.30,4,0.708689
5000000,1000,0.30,4,0.854946
5000000,1000,0.30,4,1.416016
5000000,1000,0.30,4,1.289953
5000000,1000,0.30,4,1.319833
5000000,1000,0.30,4,1.054080
5000000,1000,0.30,4,0.998627
5000000,1000,0.30,4,1.067640
5000000,1000,0.30,4,1.091578
5000000,2000,0.30,4,2.419659
5000000,2000,0.30,4,2.146809
5000000,2000,0.30,4,1.764904
5000000,2000,0.30,4,3.695030
5000000,2000,0.30,4,2.401013
5000000,2000,0.30,4,2.343194
5000000,2000,0.30,4,2.355863
5000000,2000,0.30,4,2.323998
5000000,2000,0.30,4,2.312708
5000000,2000,0.30,4,2.369748
5000000,3000,0.30,4,3.457328
5000000,3000,0.30,4,3.479641
5000000,3000,0.30,4,3.774375
5000000,3000,0.30,4,3.401123
5000000,3000,0.30,4,3.600220
5000000,3000,0.30,4,3.660659
5000000,3000,0.30,4,3.495952
5000000,3000,0.30,4,3.508414
5000000,3000,0.30,4,3.627424
5000000,3000,0.30,4,3.505302
5000000,4000,0.30,4,4.582025
5000000,4000,0.30,4,6.275920
5000000,4000,0.30,4,4.749032
5000000,4000,0.30,4,4.778842
5000000,4000,0.30,4,4.860276
5000000,4000,0.30,4,4.605312
5000000,4000,0.30,4,4.764556
5000000,4000,0.30,4,4.598726
5000000,4000,0.30,4,4.711311
5000000,4000,0.30,4,6.425398
5000000,5000,0.30,4,4.977484
5000000,5000,0.30,4,3.678483
5000000,5000,0.30,4,5.879195
5000000,5000,0.30,4,7.063600
5000000,5000,0.30,4,6.830884
5000000,5000,0.30,4,5.499367
5000000,5000,0.30,4,4.770276
5000000,5000,0.30,4,4.264543
5000000,5000,0.30,4,4.097439
5000000,5000,0.30,4,4.025410
10000000,1000,0.30,4,1.915082
10000000,1000,0.30,4,1.802100
10000000,1000,0.30,4,1.800837
10000000,1000,0.30,4,1.822584
10000000,1000,0.30,4,2.589628
10000000,1000,0.30,4,2.325281
10000000,1000,0.30,4,2.065932
10000000,1000,0.30,4,2.029939
10000000,1000,0.30,4,2.115766
10000000,1000,0.30,4,2.063665
10000000,2000,0.30,4,5.523861
10000000,2000,0.30,4,5.670206
10000000,2000,0.30,4,4.580763
10000000,2000,0.30,4,5.162546
10000000,2000,0.30,4,5.003435
10000000,2000,0.30,4,5.252826
10000000,2000,0.30,4,4.336378
10000000,2000,0.30,4,5.135674
10000000,2000,0.30,4,5.961251
10000000,2000,0.30,4,5.654971
10000000,3000,0.30,4,8.812453
10000000,3000,0.30,4,7.217130
10000000,3000,0.30,4,7.659946
10000000,3000,0.30,4,8.482580
10000000,3000,0.30,4,8.503707
10000000,3000,0.30,4,8.940970
10000000,3000,0.30,4,9.310653
10000000,3000,0.30,4,9.432483
10000000,3000,0.30,4,9.696127
10000000,3000,0.30,4,7.361501
10000000,4000,0.30,4,8.986748
10000000,4000,0.30,4,12.806449
10000000,4000,0.30,4,11.818353
10000000,4000,0.30,4,13.309243
10000000,4000,0.30,4,11.555565
10000000,4000,0.30,4,11.078231
10000000,4000,0.30,4,9.292733
10000000,4000,0.30,4,8.275762
10000000,4000,0.30,4,11.208307
10000000,4000,0.30,4,12.577790
10000000,5000,0.30,4,15.129888
10000000,5000,0.30,4,15.019968
10000000,5000,0.30,4,15.019702
10000000,5000,0.30,4,14.304887
10000000,5000,0.30,4,13.609223
10000000,5000,0.30,4,14.378954
10000000,5000,0.30,4,10.606539
10000000,5000,0.30,4,12.563116
10000000,5000,0.30,4,11.002890
10000000,5000,0.30,4,9.496460
15000000,1000,0.30,4,2.686054
15000000,1000,0.30,4,3.328289
15000000,1000,0.30,4,3.054008
15000000,1000,0.30,4,3.014823
15000000,1000,0.30,4,2.867472
15000000,1000,0.30,4,3.062336
15000000,1000,0.30,4,3.556123
15000000,1000,0.30,4,3.397892
15000000,1000,0.30,4,3.117726
15000000,1000,0.30,4,3.241809
15000000,2000,0.30,4,7.123658
15000000,2000,0.30,4,6.812012
15000000,2000,0.30,4,5.676727
15000000,2000,0.30,4,5.619439
15000000,2000,0.30,4,5.738971
15000000,2000,0.30,4,5.837810
15000000,2000,0.30,4,5.604277
15000000,2000,0.30,4,5.621640
15000000,2000,0.30,4,5.857320
15000000,2000,0.30,4,5.934995
15000000,3000,0.30,4,9.342718
15000000,3000,0.30,4,8.209808
15000000,3000,0.30,4,8.203003
15000000,3000,0.30,4,8.551099
15000000,3000,0.30,4,8.691838
15000000,3000,0.30,4,8.691864
15000000,3000,0.30,4,9.372919
15000000,3000,0.30,4,11.913913
15000000,3000,0.30,4,14.135154
15000000,3000,0.30,4,8.958696
15000000,4000,0.30,4,10.803292
15000000,4000,0.30,4,11.053106
15000000,4000,0.30,4,10.930830
15000000,4000,0.30,4,13.734753
15000000,4000,0.30,4,12.648886
15000000,4000,0.30,4,10.957994
15000000,4000,0.30,4,12.411194
15000000,4000,0.30,4,10.784479
15000000,4000,0.30,4,14.350420
15000000,4000,0.30,4,11.751242
15000000,5000,0.30,4,14.817932
15000000,5000,0.30,4,14.515306
15000000,5000,0.30,4,14.662200
15000000,5000,0.30,4,15.544495
15000000,5000,0.30,4,16.113701
15000000,5000,0.30,4,16.853771
15000000,5000,0.30,4,14.085422
15000000,5000,0.30,4,15.528998
15000000,5000,0.30,4,15.807905
15000000,5000,0.30,4,13.391868
20000000,1000,0.30,4,3.616769
20000000,1000,0.30,4,4.237019
20000000,1000,0.30,4,4.436971
20000000,1000,0.30,4,4.670499
20000000,1000,0.30,4,3.562320
20000000,1000,0.30,4,3.916180
20000000,1000,0.30,4,3.748938
20000000,1000,0.30,4,3.786066
20000000,1000,0.30,4,3.657407
20000000,1000,0.30,4,3.717500
20000000,2000,0.30,4,7.259136
20000000,2000,0.30,4,7.212916
20000000,2000,0.30,4,7.720272
20000000,2000,0.30,4,7.293342
20000000,2000,0.30,4,7.224132
20000000,2000,0.30,4,7.300389
20000000,2000,0.30,4,7.203237
20000000,2000,0.30,4,7.765229
20000000,2000,0.30,4,7.384799
20000000,2000,0.30,4,7.400104
20000000,3000,0.30,4,10.959110
20000000,3000,0.30,4,12.158321
20000000,3000,0.30,4,11.264608
20000000,3000,0.30,4,11.489604
20000000,3000,0.30,4,10.942900
20000000,3000,0.30,4,11.772192
20000000,3000,0.30,4,11.187544
20000000,3000,0.30,4,11.102960
20000000,3000,0.30,4,10.951985
20000000,3000,0.30,4,11.099839
20000000,4000,0.30,4,15.260149
20000000,4000,0.30,4,17.298451
20000000,4000,0.30,4,17.907166
20000000,4000,0.30,4,15.240878
20000000,4000,0.30,4,16.875166
20000000,4000,0.30,4,18.195597
20000000,4000,0.30,4,18.387254
20000000,4000,0.30,4,18.052015
20000000,4000,0.30,4,19.384521
20000000,4000,0.30,4,15.845273
20000000,5000,0.30,4,20.041399
20000000,5000,0.30,4,18.223292
20000000,5000,0.30,4,25.646881
20000000,5000,0.30,4,23.436922
